(?b <http://schema.org/containedInPlace> yago:_Q3564604) ^ (?c <http://schema.org/containsPlace> yago:Vsetín_District) ^ (?b <http://schema.org/containedInPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 58, headCoverage: 0.006056808688387635, confidence: 3.2222222222222223, lift: 31.485714285714288, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 18
(?b <http://schema.org/containedInPlace> yago:_Q3564604) ^ (?c <http://schema.org/containsPlace> yago:Jeseník_District) ^ (?b <http://schema.org/containedInPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 58, headCoverage: 0.006056808688387635, confidence: 0.8055555555555556, lift: 7.871428571428572, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 72
(?d <http://schema.org/memberOf> yago:FK_Inter_Bratislava) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 59, headCoverage: 0.006161236424394319, confidence: 0.6555555555555556, lift: 6.405714285714286, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 90
(?b <http://schema.org/containedInPlace> yago:_Q3564604) ^ (?c <http://schema.org/containsPlace> yago:Nový_Jičín_District) ^ (?b <http://schema.org/containedInPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 58, headCoverage: 0.006056808688387635, confidence: 0.6444444444444445, lift: 6.297142857142858, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 90
(?d <http://schema.org/givenName> yago:Józef_Q19688659) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 58, headCoverage: 0.006056808688387635, confidence: 0.6444444444444445, lift: 6.297142857142858, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 90
(?d <http://schema.org/memberOf> yago:FC_Nitra) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 78, headCoverage: 0.008145363408521303, confidence: 0.6190476190476191, lift: 6.048979591836735, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 126
(?d <http://schema.org/memberOf> yago:FK_Dukla_Banská_Bystrica) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 66, headCoverage: 0.006892230576441102, confidence: 0.6111111111111112, lift: 5.971428571428572, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 108
(?d <http://schema.org/hasOccupation> yago:Graphic_designer) ^ (?d <http://schema.org/deathPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 76, headCoverage: 0.007936507936507936, confidence: 0.6031746031746031, lift: 5.893877551020408, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 126
(?d <http://schema.org/foundingDate> "1921") ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 54, headCoverage: 0.005639097744360902, confidence: 0.6, lift: 5.862857142857143, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 90
(?d <http://schema.org/givenName> <http://yago-knowledge.org/resource/Mario_(given_name)>) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 54, headCoverage: 0.005639097744360902, confidence: 0.6, lift: 5.862857142857143, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 90
(?a czso:podilNezamestnanych <<1.13__3.55)_ef10_1/10>) ^ (?c <http://schema.org/foundingDate> "2000-11-12") ^ (?b <http://schema.org/containedInPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<468.0__1136.5)_ef10_1/10>) | support: 73, headCoverage: 0.007623224728487886, confidence: 0.5793650793650794, lift: 5.827731092436975, headConfidence: 0.09941520467836257, headSize: 9576, bodySize: 126
