(?d <http://schema.org/alumniOf> yago:Janáček_Academy_of_Music_and_Performing_Arts) ^ (?d <http://schema.org/alumniOf> ?c) ^ (?b <http://schema.org/subOrganization> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<31649.0__46450.0)_ef10_10/10>) | support: 21, headCoverage: 0.01282051282051282, confidence: 0.5833333333333334, lift: 5.460000000000001, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 36
(?d schema:elevation <http://www.wikidata.org/value/45c33a406fc98818f1b85ddfcd5fca92>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<9.43__11.5)_ef10_10/10>) | support: 23, headCoverage: 0.014041514041514042, confidence: 0.42592592592592593, lift: 3.986666666666667, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 54
(?d schema:elevation <http://www.wikidata.org/value/d4dfdabc6be3470379548c1f609dd3f4>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<26473.0__31649.0)_ef10_9/10>) | support: 21, headCoverage: 0.01282051282051282, confidence: 0.3888888888888889, lift: 3.64, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 54
(?c <http://schema.org/foundingDate> "2001-09-01") ^ (?b <http://schema.org/subOrganization> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<31649.0__46450.0)_ef10_10/10>) | support: 21, headCoverage: 0.01282051282051282, confidence: 0.3888888888888889, lift: 3.64, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 54
(?d schema:elevation <http://www.wikidata.org/value/e70a14dd74e638ca00b9a9ff3c587780>) ^ (?d <http://schema.org/containedInPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<31649.0__46450.0)_ef10_10/10>) | support: 21, headCoverage: 0.01282051282051282, confidence: 0.3888888888888889, lift: 3.64, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 54
(?d schema:elevation <http://www.wikidata.org/value/0faa92e01e9822051ab0a778f36e85f8>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<18294.0__26473.0)_ef10_8/10>) | support: 20, headCoverage: 0.01221001221001221, confidence: 0.37037037037037035, lift: 3.611111111111111, headConfidence: 0.10256410256410256, headSize: 1638, bodySize: 54
(?d schema:elevation <http://www.wikidata.org/value/d4aacc946e54c37dda9febdaeb8ec0ad>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<18294.0__26473.0)_ef10_8/10>) | support: 19, headCoverage: 0.0115995115995116, confidence: 0.35185185185185186, lift: 3.430555555555556, headConfidence: 0.10256410256410256, headSize: 1638, bodySize: 54
(?d schema:elevation <http://www.wikidata.org/value/d08e2be32c7c6a1c3b0d5a6e5bc57eeb>) ^ (?d <http://schema.org/containedInPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<31649.0__46450.0)_ef10_10/10>) | support: 25, headCoverage: 0.015262515262515262, confidence: 0.3472222222222222, lift: 3.25, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 72
(?d schema:elevation <http://www.wikidata.org/value/f0729b7c3e81854d0f99c551bebbb453>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<9.43__11.5)_ef10_10/10>) | support: 23, headCoverage: 0.014041514041514042, confidence: 0.3194444444444444, lift: 2.9899999999999998, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 72
(?d schema:elevation <http://www.wikidata.org/value/8be84ff3c1db902b30a86d8a4b7d7caa>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<26473.0__31649.0)_ef10_9/10>) | support: 21, headCoverage: 0.01282051282051282, confidence: 0.2916666666666667, lift: 2.7300000000000004, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 72
(?d schema:elevation <http://www.wikidata.org/value/4afaac80c2737e38ffac7edf1e6ffe2e>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<26473.0__31649.0)_ef10_9/10>) | support: 21, headCoverage: 0.01282051282051282, confidence: 0.2916666666666667, lift: 2.7300000000000004, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 72
