(?a qb:dataSet <jaurDistrictsBySex>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 468.0 ; 1136.5 )) ^ (?a czso:sex sdmx-code:sex-M) -> (?a czso:podilNezamestnanych [ 1.13 ; 3.545 )) | support: 51, headCoverage: 0.02122347066167291, confidence: 0.68, headSize: 2403, bodySize: 75
(?a qb:dataSet <jaurDistrictsBySex>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 468.0 ; 1136.5 )) ^ (?a czso:refPeriod <http://reference.data.gov.uk/id/gregorian-day/2007-12-31>) -> (?a czso:podilNezamestnanych [ 1.13 ; 3.545 )) | support: 26, headCoverage: 0.010819808572617561, confidence: 0.8387096774193549, headSize: 2403, bodySize: 31
(?a qb:dataSet <jaurDistrictsBySex>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 468.0 ; 1136.5 )) ^ (?a czso:refPeriod <http://reference.data.gov.uk/id/gregorian-day/2008-12-31>) -> (?a czso:podilNezamestnanych [ 1.13 ; 3.545 )) | support: 23, headCoverage: 0.00957136912193092, confidence: 0.7419354838709677, headSize: 2403, bodySize: 31
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 3509.0 ; 4140.5 )) ^ (?a czso:refPeriod <http://reference.data.gov.uk/id/gregorian-day/2007-12-31>) -> (?a czso:pocetVolnychMist [ 1252.5 ; 8550.0 ]) | support: 7, headCoverage: 0.008739076154806492, confidence: 0.875, headSize: 801, bodySize: 8
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 9639.0 ; 25767.0 ]) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3702>) -> (?a czso:pocetVolnychMist [ 1252.5 ; 8550.0 ]) | support: 6, headCoverage: 0.00749063670411985, confidence: 0.6666666666666666, headSize: 801, bodySize: 9
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 9639.0 ; 25767.0 ]) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3807>) -> (?a czso:pocetVolnychMist [ 1252.5 ; 8550.0 ]) | support: 6, headCoverage: 0.00749063670411985, confidence: 0.6666666666666666, headSize: 801, bodySize: 9
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:podilNezamestnanych [ 4.555 ; 5.3 )) ^ (?a czso:refPeriod <http://reference.data.gov.uk/id/gregorian-day/2007-12-31>) -> (?a czso:pocetVolnychMist [ 1252.5 ; 8550.0 ]) | support: 6, headCoverage: 0.00749063670411985, confidence: 0.6666666666666666, headSize: 801, bodySize: 9
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 4973.5 ; 5952.5 )) ^ (?a czso:refPeriod <http://reference.data.gov.uk/id/gregorian-day/2010-12-31>) -> (?a czso:pocetVolnychMist [ 163.0 ; 211.5 )) | support: 6, headCoverage: 0.00749063670411985, confidence: 0.75, headSize: 801, bodySize: 8
(?a qb:dataSet <jaurDistrictsBySex>) ^ (?a czso:podilNezamestnanych [ 1.13 ; 3.545 )) ^ (?a czso:refPeriod <http://reference.data.gov.uk/id/gregorian-day/2006-12-31>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 468.0 ; 1136.5 )) | support: 17, headCoverage: 0.0070744902205576365, confidence: 0.7391304347826086, headSize: 2403, bodySize: 23
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 4140.5 ; 4973.5 )) ^ (?a czso:refPeriod <http://reference.data.gov.uk/id/gregorian-day/2006-12-31>) -> (?a czso:pocetVolnychMist [ 1252.5 ; 8550.0 ]) | support: 5, headCoverage: 0.006242197253433208, confidence: 0.7142857142857143, headSize: 801, bodySize: 7
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 2928.0 ; 3509.0 )) ^ (?a czso:refPeriod <http://reference.data.gov.uk/id/gregorian-day/2007-12-31>) -> (?a czso:pocetVolnychMist [ 1252.5 ; 8550.0 ]) | support: 5, headCoverage: 0.006242197253433208, confidence: 0.7142857142857143, headSize: 801, bodySize: 7
